id,corporate_no,name,name_norm,kura_name,prefecture,city,address,founded_year,website,category,description,description_generated,status,confidence,source_id,evidence,created_at,updated_at,latitude,longitude,founding_year,visitation_allowed,shop_available
1,,麗人酒造株式会社,麗人酒造,,長野県,,諏訪市諏訪2-9-21,1910,https://reijin.biz/,sake,長野県に蔵を構える麗人酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。令和八年 杜氏の腕試し 低音発酵 純米吟醸原酒 720ml 【限定品】令和８年限定醸造。【限定品】 麗人 純米吟醸 山廃仕込み 720ml 【数量限定品】伝統的な山廃仕込みの純米吟醸酒。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: 麗人酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.643,138.1741,1910,0,0
2,2100001018319,酒ぬのや本金酒造株式会社,酒ぬのや本金酒造,,長野県,,諏訪市諏訪2-8-21,1910,http://honkin.net/sake,sake,長野県に蔵を構える酒ぬのや本金酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。サイズ1800ml／720ml／300ml本醸造 精米歩合60% 毎日、飲みたい酒を目指して 現在のラインナップでは最も長い間愛飲していただいている黄色ラベルの本金です。サイズ1800ml／720ml純米大吟醸 精米歩合39% つうに人気の本醸造生原酒 太一の生原酒、それが樋の口です。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: 酒ぬのや本金酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6447,138.1772,1910,0,0
3,,伊東酒造株式会社,伊東酒造,,長野県,,諏訪市諏訪2-3-6,1910,https://www.yokobue.co.jp/,sake,長野県に蔵を構える伊東酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: 伊東酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6464,138.1803,1910,0,0
4,1100001020143,宮坂醸造株式会社,宮坂醸造,,長野県,,諏訪市元町1-16,1910,https://www.masumi.jp/,sake,長野県に蔵を構える宮坂醸造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,1.0,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: 宮坂醸造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6481,138.1834,1910,0,0
5,4100001019463,高天酒造株式会社,高天酒造,,長野県,,岡谷市銀座2丁目2-17,1910,http://www.koten-sake.co.jp/,sake,長野県に蔵を構える高天酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。価格改定実施日：2026年4月1日 明治４年現在地にて、 初代髙橋巳喜之助により創業。銘柄の「髙天」は祖先の戒名 「髙天良橋禅定門」に由来します。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: 高天酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6498,138.1865,1910,0,0
6,3100001019662,株式会社豊島屋,豊島屋,,長野県,,岡谷市本町3丁目9-1,1910,http://jizake.miwatari.jp/,sake,長野県に蔵を構える株式会社豊島屋は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。豊かな自然環境に恵まれた長野県で、水と良質な米、そしてすべてが手作業で丁寧に醸造された酒、それが神渡冥利の大吟醸原酒です。神渡　純米吟醸ワイン樽貯蔵　MIWATARI CONNECTIONで培った製法を活かし、神渡と坂城葡萄酒醸造の魅力が最大限に生かされた新感覚の日本酒です。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: （株）豊島屋,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6515,138.1896,1910,0,0
7,,磐栄運送株式会社諏訪御湖鶴酒造場,磐栄運送諏訪御湖鶴酒造場,,長野県,,下諏訪町3205-17,1910,https://www.mikotsuru.com/,sake,長野県に蔵を構える磐栄運送株式会社諏訪御湖鶴酒造場は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。今を生きる蔵人のブレない酒づくり 理想の味わいを究め、世界に通じる品質を何度でも再現しようとするなら、酒づくりは属人的な技術や勘を超えなければならない。酒造りの全工程において0.1℃の温度、0.1%の水分にまでこだわり、重要なプロセスには、とことん人の手間をかけるのが御湖鶴の流儀。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: 磐栄運送（株）諏訪御湖鶴酒造場,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6532,138.1727,1910,0,0
8,,戸田酒造株式会社,戸田酒造,,長野県,,茅野市ちの2998,1910,http://www.shopdaiya.jp/,sake,長野県に蔵を構える戸田酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: 戸田酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6549,138.1758,1910,0,0
9,,株式会社舞姫,舞姫,,長野県,,諏訪市諏訪2-9-25,1910,http://www.maihime.co.jp/,sake,長野県に蔵を構える株式会社舞姫は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。同じ霧ケ峰の伏流水を仕込み水に使いながら、それぞれに特徴のある個性豊かな酒を 醸し続けてきたその5つの蔵は、「諏訪五蔵」と呼ばれるようになりました。以来、「顔の見える酒づくり」をモットーとし、伝統と革新の酒造りを行っています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】諏訪エリア（長野県酒造組合） 蔵元カード: （株）舞姫,2026-07-05 08:01:13,2026-08-02 06:37:41,36.6566,138.1789,1910,0,0
10,,株式会社丸世酒造店,丸世酒造店,,長野県,,中野市中央二丁目5番12号,1910,https://marusesyuzouten.co.jp/,sake,長野県に蔵を構える株式会社丸世酒造店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。丸世酒造店 | 丸世酒造店は、長野県中野市に位置する創業1870年の酒蔵です。初代が「世の中が丸くなりますように」との願いを込めて創業し、五代にわたり日本酒を醸し続けています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】中野エリア（長野県酒造組合） 蔵元カード: （株）丸世酒造店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6583,138.182,1910,0,0
